,vehicle_id,start_time,stop_time
1238,604111,58975,77718
1239,286211,68731,83808
1240,587793,34596,40451
1241,587793,45361,57562
1242,587793,66907,82893
1243,576507,65298,73884
1244,576507,75726,81966
1245,355905,42873,55358
1246,355905,57173,65993
1247,355905,67728,69090
1248,355905,70487,82839
1249,604556,44113,64887
1250,554356,67970,83383
1251,605338,6,10853
1252,561558,26861,63237
1253,609329,37206,37206
1254,609329,47226,47231
1255,609329,64334,82995
1256,617771,37954,37954
1257,617771,68321,82782
1258,255792,13,12117
1259,255792,43896,55003
1260,255792,67661,86119
1261,460057,67890,82967
1262,496654,42508,86115
1263,393349,64801,76604
1264,632370,1,1073
1265,632370,43222,51811
1266,632370,65928,86356
1267,616654,7,7213
1268,616654,39532,57666
1269,616654,66146,86266
1270,626454,42968,57572
1271,626454,61363,82726
1272,631822,98,2416
1273,631822,68321,86245
1274,605235,43350,78816
1275,395542,65232,83070
1276,510264,42251,84436
1277,163277,24418,80106
1278,636422,10,2484
1279,636422,33594,33594
1280,636422,67424,82825
1281,626751,58668,66571
1282,626751,71292,86394
1283,577889,32396,32401
1284,577889,39913,52609
1285,577889,68459,82810
1286,623013,45021,45021
1287,623013,57339,61935
1288,576069,63377,68241
1289,206459,2455,2455
1290,206459,39741,41754
1291,206459,43304,57517
1292,206459,58965,60649
1293,206459,67810,83726
1294,615926,76603,76603
1295,615926,78103,82799
1296,564342,68197,82864
1297,558923,59576,66794
1298,558923,73016,85921
1299,579673,37188,58943
1300,579673,62271,82960
1301,450666,24878,63468
1302,548180,30375,30375
1303,548180,31603,35452
1304,493507,43235,56062
1305,493507,57804,58224
1306,493507,66974,69148
1307,493507,70443,79776
1308,493507,81304,82765
1309,476186,44441,54570
1310,476186,74825,80741
1311,368309,43204,43204
1312,368309,68052,86387
1313,383715,38603,58986
1314,383715,61650,84164
1315,503470,14,1752
1316,503470,40940,86166
1317,577861,24443,33630
1318,577861,36620,39013
1319,577861,40273,55340
1320,577861,56648,85983
1321,592284,40234,60408
1322,592284,61626,82897
1323,609536,68098,82731
1324,409338,38300,38300
1325,409338,42723,71282
1326,579122,42524,86385
1327,465542,0,4214
1328,465542,42793,86393
1329,579193,68229,82649
1330,397133,57930,57930
1331,397133,59511,59511
1332,208125,39295,83152
1333,431453,41673,83217
1334,525136,43469,55700
1335,525136,57087,58909
1336,525136,60264,83768
1337,242410,13,10987
1338,242410,41701,56267
1339,242410,65658,86390
1340,539956,68218,83575
1341,539956,84841,86093
1342,394203,40028,53240
1343,394203,67989,83137
1344,169995,41958,56922
1345,169995,68130,82580
1346,550921,43523,53657
1347,550921,61592,82289
1348,358399,63841,63841
1349,358399,68240,83037
1350,336441,67496,85054
1351,161005,46727,57634
1352,161005,66030,66105
1353,161005,68341,82947
1354,589077,67799,86387
1355,611332,40377,40398
1356,611332,41731,55134
1357,611332,63965,67152
1358,611332,74514,86397
1359,163856,1409,2972
1360,163856,43164,86344
1361,560099,67447,82797
1362,471276,47267,56061
1363,471276,68841,68976
1364,474403,5,444
1365,474403,36351,84588
1366,461313,38586,57339
1367,451388,37071,43818
1368,451388,47545,49531
1369,451388,51263,51284
1370,451388,52773,53797
1371,455021,21,95
1372,455021,66862,83383
1373,534007,42276,83219
1374,247200,68417,82712
1375,556513,105,1774
1376,592315,34783,34783
1377,584191,54136,54136
1378,584191,58196,61528
1379,584191,68016,84944
1380,249123,41462,83375
1381,320860,36263,57339
1382,320860,60145,83190
1383,596841,42603,82914
1384,567162,68569,84020
1385,631999,49063,49063
1386,631999,67335,85318
1387,134110,33202,33202
1388,134110,41166,41569
1389,134110,42859,68382
1390,134110,69720,82840
1391,521792,27138,27138
1392,521792,28718,41176
1393,521792,66237,85691
1394,614701,5,12107
1395,614701,68165,86243
1396,394862,68074,84265
1397,138612,68079,82184
1398,414238,39963,54530
1399,414238,63618,83862
1400,517005,25259,57441
1401,612087,40946,72685
1402,634050,24186,58592
1403,211421,43468,59963
1404,211421,65211,85721
1405,336796,66955,82829
1406,632782,27,775
1407,632782,51466,86026
1408,586730,67265,68689
1409,586730,70109,70973
1410,586730,80237,82221
1411,587554,45558,48101
1412,587554,49432,53911
1413,587554,67977,78704
1414,191181,77237,79463
1415,489330,28,5292
1416,489330,41015,86338
1417,480095,67802,82874
1418,623154,38005,38005
1419,623154,67420,83202
1420,629441,68017,77308
1421,629441,79705,84973
1422,453877,41797,61438
1423,453877,64337,83335
1424,475332,65863,82761
1425,522706,68957,86356
1426,256498,67,7063
1427,256498,33099,84053
1428,553318,3904,3904
1429,356924,68228,82643
1430,137920,20994,21010
1431,137920,44109,50965
1432,137920,52399,57120
1433,137920,58463,65947
1434,137920,72780,82816
1435,588884,22,721
1436,588884,37235,52967
1437,584161,23,10924
1438,584161,67182,86363
1439,326481,24375,57907
1440,450942,65508,83098
1441,551032,41127,58444
