,vehicle_id,start_time,stop_time
3250,144224,62344,83470
3251,597518,41180,58419
3252,597518,61522,82100
3253,404202,30893,34539
3254,404202,36155,38279
3255,404202,39927,58177
3256,404202,66042,83731
3257,404202,85584,86203
3258,549852,39134,50897
3259,549852,52119,56851
3260,549852,68083,85729
3261,554505,73210,82673
3262,585026,66503,69535
3263,585026,71168,82684
3264,462204,67456,83141
3265,153237,42180,56951
3266,153237,58329,58329
3267,153237,61560,63383
3268,153237,66770,69601
3269,153237,71085,71400
3270,153237,73051,83010
3271,626297,67838,85550
3272,619926,65979,70495
3273,619926,71757,83075
3274,203828,42661,52594
3275,203828,68241,83070
3276,345208,82,986
3277,345208,41511,58351
3278,345208,63019,86394
3279,634022,33,2992
3280,634022,4615,10238
3281,634022,69514,80987
3282,636226,68282,69763
3283,636226,74218,86137
3284,482772,67502,67502
3285,482772,68758,71273
3286,482772,72555,82217
3287,599203,66861,83683
3288,304510,63906,85318
3289,507273,86337,86359
3290,599690,68263,86312
3291,563722,67288,83238
3292,474569,68440,70194
3293,474569,71846,86384
3294,504785,35498,58473
3295,504785,61541,85870
3296,140495,25529,26833
3297,140495,28096,58297
3298,502522,63,14625
3299,502522,68108,86254
3300,209521,44839,51187
3301,209521,66891,69804
3302,209521,71415,83087
3303,626347,128,10839
3304,626347,68597,86236
3305,340229,26730,58284
3306,340229,61547,63584
3307,340229,70078,72216
3308,340229,73431,83265
3309,340229,84747,84749
3310,548209,42532,58364
3311,548209,61545,64472
3312,548209,66074,77345
3313,402696,23596,57990
3314,402696,61545,67093
3315,402696,72707,82216
3316,625264,23876,41944
3317,625264,44429,57442
3318,625264,66788,75297
3319,597876,68453,70141
3320,597876,71597,82911
3321,605232,49522,58061
3322,605232,61561,63501
3323,354142,118,242
3324,354142,24690,58359
3325,354142,67703,79613
3326,359392,67673,82655
3327,584099,50944,50944
3328,584099,68202,68327
3329,584099,69540,85800
3330,358422,43610,58401
3331,358422,61717,84570
3332,445844,67998,83162
3333,297226,27023,38145
3334,484190,67263,78557
3335,484190,81289,82937
3336,191827,43372,58371
3337,191827,61561,75515
3338,395467,36666,36666
3339,395467,42305,58431
3340,395467,61839,62995
3341,395467,64269,64269
3342,395467,66149,83923
3343,473644,22,11780
3344,473644,43222,43222
3345,473644,44708,53284
3346,473644,68209,70376
3347,473644,71620,71749
3348,473644,73380,86361
3349,615407,55065,55065
3350,615407,68138,69994
3351,615407,71598,82756
3352,577766,42920,57739
3353,577766,61739,83123
3354,252613,30911,58485
3355,252613,61566,62260
3356,252613,63544,66650
3357,503617,41110,57343
3358,503617,61512,65126
3359,503617,66704,83254
3360,158353,22995,58065
3361,158353,73553,81409
3362,575737,68267,68985
3363,575737,70497,71083
3364,575737,74505,75079
3365,476160,67364,69676
3366,476160,71171,71472
3367,476160,83575,83580
3368,474975,30060,30303
3369,474975,32398,32398
3370,474975,34924,58420
3371,474975,61663,70597
