,vehicle_id,start_time,stop_time
0,417265,29646,29646
1,417265,33158,47736
2,417265,65914,82880
3,550606,15289,15289
4,550606,39552,39552
5,550606,41248,86387
6,635664,160,2737
7,635664,66180,83109
8,638428,2109,2112
9,638428,63547,64322
10,638428,67036,67040
11,638428,68456,83172
12,620539,70,829
13,620539,53138,86368
14,502520,178,10650
15,502520,66870,85446
16,481651,42451,83738
17,643562,39675,58182
18,643562,65358,83626
19,579073,65683,78677
20,643657,33811,33811
21,643657,67406,86399
22,612991,24983,42092
23,612991,43308,58779
24,612991,65003,81150
25,594718,3,2189
26,594718,37463,82212
27,559431,48877,48877
28,559431,52851,86379
29,272464,37268,38515
30,272464,50260,50260
31,331158,14,2536
32,331158,38949,86393
33,579335,39798,85002
34,640578,191,3286
35,640578,4616,4714
36,640578,32843,50326
37,640578,53839,53839
38,640578,68712,86378
39,583796,16,2806
40,583796,28860,85611
41,118057,68549,82909
42,385345,39421,79321
43,605593,43117,61189
44,605593,65894,83016
45,403415,39293,39293
46,403415,41908,83271
47,283558,31,4523
48,283558,43022,61566
49,283558,63531,85942
50,636565,55836,56941
51,636565,58269,60225
52,636565,72339,80142
53,636565,81721,81731
54,636565,85311,85515
55,94867,25687,25687
56,94867,37667,81030
57,594655,42449,58288
58,594655,62253,74494
59,546591,23,13959
60,546591,65683,86397
61,180911,37407,48447
62,180911,68289,82943
63,626108,68365,82510
64,610021,73,11687
65,610021,78056,86370
66,161043,342,390
67,161043,41535,64250
68,161043,65698,70997
69,161043,72217,82862
70,593909,26613,26613
71,593909,32906,43741
72,593909,67272,83346
73,551364,32830,80411
74,472811,44256,65446
75,472811,68775,79079
76,472811,83120,84168
77,390496,33129,33129
78,390496,40402,58676
79,390496,61856,82879
80,571512,64441,83139
81,606135,43,8776
82,606135,39392,39392
83,606135,68488,70351
84,606135,71774,86316
85,508834,68788,83057
86,619003,61207,83167
87,624223,67822,83410
88,281745,42779,86277
89,489770,32623,46001
90,489770,52686,52792
91,489770,60258,83460
92,608756,42675,59600
93,608756,61501,86399
94,636874,87,11492
95,636874,56615,84133
96,437134,41087,49331
97,437134,51237,69864
98,437134,71679,77635
99,595134,38779,53102
100,595134,64689,79999
101,595134,86202,86203
102,262768,68005,73608
103,262768,75772,75774
104,262768,77785,78894
105,262768,80545,80599
106,262768,81819,81822
107,262768,83371,83433
108,505655,6179,6179
109,505655,32222,32222
110,505655,66202,85294
111,567638,23944,62754
112,567638,64913,76399
113,633413,42477,78640
114,473967,42139,84726
115,159944,39076,39076
116,159944,43198,53473
117,159944,68446,86390
118,567953,64827,83642
119,420986,11,3146
120,420986,36726,52253
121,420986,67680,83509
122,349700,40393,53856
123,349700,67796,84262
124,384349,1907,1907
125,384349,33062,33062
126,384349,43090,54579
127,384349,65323,82995
128,580801,42806,85064
129,564021,67045,83300
130,521422,39641,44932
131,521422,66642,82764
132,485338,32049,32085
133,485338,37558,83873
134,576796,67423,82815
135,439018,44373,54857
136,439018,56976,85039
137,616049,32211,32211
138,616049,43255,81542
139,636436,41745,83337
